Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Reduction Factor [%],Bio Reduction Factor [%]
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.06,0,12,86,-1.18783E-06,-0.001065058,5.186851811,-19.774208,0.001742127,0.015404397,0.131718832,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.06,0.5,12,86,6.9848E-05,-0.023079992,6.388636904,-25.63224659,0.002302539,0.009189879,0.226957163,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.06,1,12,86,0.000101972,-0.031559239,6.739174774,-27.42300932,0.002526376,0.006224958,0.267451337,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.04,0,12,86,0.002533592,-0.2382803,7.077676812,16.29224351,0.000256769,-0.007906403,0.851333887,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.04,0.5,12,86,-0.000164896,0.114098528,10.23640152,-32.37927033,0.002384406,0.061411013,0.102663706,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.04,1,12,86,-6.01499E-05,0.021484526,6.452186925,-26.601374,0.001471588,0.020816455,0.147864396,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.02,0,12,86,0.000598312,0.061580876,6.5778177,-2.69946133,-0.000281213,0.068822442,-0.044573954,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.02,0.5,12,86,0.001147289,-0.082904101,2.410537387,11.74849952,0.000168855,-0.007482533,0.335785512,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,-0.02,1,12,86,0.000637828,-0.048014769,1.462336159,6.431181207,9.47798E-05,-0.003863122,0.18965319,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0,0,12,86,0.000104651,0.026655369,1.930496066,8.303817128,-4.71118E-05,0.01226828,0.108727605,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0,0.5,12,86,8.98629E-05,0.02331993,1.733715958,8.006076102,-3.70644E-05,0.010011499,0.101113422,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0,1,12,86,0.002309077,-0.162586389,6.29561874,11.99302495,0.000183022,-0.006339752,0.499114487,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0.02,0,12,86,0.00216056,-0.154249185,6.521479325,7.978612173,0.000118491,-0.003635425,0.444114563,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0.02,0.5,12,84,0.001060074,-0.070524892,2.725413838,4.571435296,6.02582E-05,-0.002366702,0.18458648,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0.02,1,12,82,0.002133452,-0.145381089,6.55730168,5.403014639,8.07097E-05,-0.001921289,0.367117356,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0.04,0,12,83,0.002110648,-0.14763895,6.805678753,4.643983436,6.85421E-05,-0.001325142,0.373345642,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0.04,0.5,12,76,0.000192439,0.041946024,1.970890987,5.270586942,-3.43884E-05,0.007820654,0.078375201,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,EC,,0.04,1,12,68,0.000120893,0.060549633,2.505954884,5.296740678,-3.17144E-05,0.008222679,0.098953619,0,0
