Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Reduction Factor [%],Bio Reduction Factor [%]
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.06,0,12,86,-8.20453E-06,0.002953692,1.178410047,-4.40254445,0.000781927,0.010033888,0.051265858,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.06,0.5,12,86,1.95663E-06,-0.001110624,1.232593058,-4.962760795,0.000857703,0.006834125,0.077626963,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.06,1,12,86,-0.000306197,0.019825136,3.204135867,-1.881675254,0.002749369,0.018302457,0.549867008,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.04,0,12,86,0.00046264,-0.043452574,1.340234511,2.445564217,8.26356E-05,-0.002235769,0.309668837,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.04,0.5,12,86,0.000918541,-0.039683614,3.626165419,0.173091612,0.001548042,0.001774531,0.646175979,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.04,1,12,86,-1.80498E-05,0.007772409,1.288657137,-5.271713784,0.00054563,0.009726458,0.059935597,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.02,0,12,86,0.000679827,0.032248811,3.918402964,-10.28510663,-0.000413874,0.083824732,-0.239036703,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.02,0.5,12,86,0.004738066,-0.36781735,12.30385864,28.72135048,0.000830744,-0.031196768,2.47002827,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,-0.02,1,12,86,0.00231907,-0.178240651,5.969888601,17.09661354,0.000511322,-0.018979412,1.242990124,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,0,0,12,86,0.000359348,0.034720039,2.837311102,19.72617848,-0.000123512,0.026684105,0.471597758,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,0,0.5,12,86,0.000339388,0.04444833,3.212970002,17.27312903,-0.000124231,0.029183287,0.42652218,0,0
Heavy Duty Trucks,Petrol,>3.5 t,Conventional,,NOx,,0,1,12,86,0.000361242,0.059743895,4.035946156,18.68174787,-0.00013824,0.034475375,0.466379522,0,0
